#{"t_start": 1775663245.433027, "env_id": "None"}
r,l,t
--1.758428,158,2.545232
-5.219993,130,3.260939
5.975266,135,3.99332
-8.73814,61,4.350018
-9.566695,44,4.623286
-17.188038,106,5.261274
-14.151529,46,5.508319
-10.383178,37,5.714373
-9.063255,67,6.093161
-3.216242,113,6.806805
-11.427079,54,7.132914
-12.615783,80,10.199574
-13.930402,121,10.843823
-10.187726,38,11.051909
-8.21931,77,11.487062
-8.497131,52,11.815918
-14.447737,139,12.636314
-16.083843,62,12.975628
-7.667261,58,13.314836
-11.084,40,13.520857
-12.899123,57,13.855411
-7.183083,82,14.319027
-13.714078,79,14.755266
-9.47578,47.639468,126,-13.92681,-10.690642,132-3.016932,90-13.615304,79,19.004277
-12.617976,-0.183991,150,19.722157
-7.57703,95,20.263051
-11.30263,37,20.475775
-2.927834,174,21.476808
-8.528736,55,21.799985
-10.378756,62,22.163332
-17.577406,94,22.702099
-5.846807,136,23.44436
-8.627447,62,23.791116
-13.615611,125,24.575115
2.606988,132,28.741656
-7.973871,41,28.98363
-10.788807,52,29.299345
-5.647344,112,29.953565
-10.187904,52,30.303085
-4.104762,52,30.585938
-8.083409,49,30.869012
-9.533074,35,31.081049
-7.398953,112,31.731485
-12.172907,126,32.465266
-10.027292,82,32.970359
-11.583618,81,33.45615
-9.667796,51,33.758451
-8.54683,118,37.267134
-10.457377,34,37.470078
-8.29089,67,37.873999
-10.066416,33,38.067836
-4.900867,114,38.724855
-5.243661,55,39.056865
-12.771496,44,39.322854
-5.234043,88,39.850361
-13.919342,60,40.203786
-11.24189,33,40.393488
-12.360298,44,40.654805
-11.107535,53,40.958634
-6.029407,74,41.379681
-6.012233,151,42.268993
-9.526443,40,42.504989
-0.83752,96,45.963249
-2.828969,86,46.5074
4.672665,109,47.160966
-5.623334,56,47.497584
-8.863133,56,47.825164
-9.258701,54,48.143317
-8.341723,53,48.458589
-8.969589,91,48.997127
0.342438,93,49.616464
-2.831888,63,50.012872
-5.366374,111,50.685102
-8.274987,34,50.889601
-11.715881,38,51.13115
-5.733388,58,51.47166
-9.645328,53,51.795755
-6.383195,49,52.088134
-10.858288,39,55.029408
-12.274854,58,55.358497
-12.372791,47,55.645285
-10.926148,39,55.863308
-11.720608,57,56.215589
-10.441896,36,56.446741
